Uploaded data
|    1-512   |        dato|  513-1024  |        dato| 1025-1536  |        dato| 1537-2048  |        dato| 2049-2560  |        dato| 2561-3072  |        dato|
|          56|         221|         568|          61|        1080|         173|        1592|          45|        2104|         189|        2616|          93|
|          57|         131|         569|         139|        1081|          98|        1593|          10|        2105|         129|        2617|         201|
|          58|          35|         570|         149|        1082|         150|        1594|          40|        2106|          73|        2618|         251|
|          59|         247|         571|          10|        1083|         110|        1595|          33|        2107|          37|        2619|         121|
|          60|          16|         572|         157|        1084|          58|        1596|         232|        2108|         165|        2620|         114|
|          61|         252|         573|         252|        1085|         204|        1597|         108|        2109|         221|        2621|          29|
|          62|         192|         574|         200|        1086|          95|        1598|         135|        2110|          62|        2622|         134|
|          63|          74|         575|          27|        1087|          61|        1599|         174|        2111|         111|        2623|         128|
|          64|         217|         576|         174|        1088|         146|        1600|         135|        2112|         139|        2624|         159|
|          65|         147|         577|          62|        1089|         185|        1601|           4|        2113|          30|        2625|           9|
|          66|          95|         578|         231|        1090|         255|        1602|         166|        2114|         222|        2626|         166|
|          67|         127|         579|          80|        1091|         113|        1603|         226|        2115|         163|        2627|         180|
|          68|          67|         580|         152|        1092|         254|        1604|         115|        2116|         249|        2628|         142|
|          69|         125|         581|          36|        1093|         155|        1605|         227|        2117|         250|        2629|         226|
|          70|         116|         582|         134|        1094|          40|        1606|          90|        2118|          28|        2630|         110|
|          71|          11|         583|         189|        1095|         192|        1607|          18|        2119|         181|        2631|         167|
|          72|         127|         584|         176|        1096|         240|        1608|          65|        2120|         162|        2632|          18|
|          73|         110|         585|           4|        1097|         106|        1609|         160|        2121|         166|        2633|         124|
|          74|         240|         586|         182|        1098|          12|        1610|         242|        2122|         104|        2634|         110|
|          75|         235|         587|           1|        1099|         103|        1611|          30|        2123|          36|        2635|         122|
|          76|          32|         588|         166|        1100|          60|        1612|         226|        2124|         151|        2636|          93|
|          77|           0|         589|          23|        1101|         254|        1613|         180|        2125|          59|        2637|         146|
|          78|          19|         590|         215|        1102|          43|        1614|          16|        2126|         132|        2638|         136|
|          79|          48|         591|         204|        1103|         183|        1615|         243|        2127|         127|        2639|          90|
|          80|         139|         592|         255|        1104|         132|        1616|          25|        2128|         190|        2640|         115|
|          81|          89|         593|          34|        1105|         188|        1617|          37|        2129|          94|        2641|         103|
|          82|         130|         594|         174|        1106|         106|        1618|         183|        2130|         147|        2642|         255|
|          83|         186|         595|         158|        1107|         209|        1619|          84|        2131|          40|        2643|          75|
|          84|         168|         596|         198|        1108|         244|        1620|          50|        2132|         129|        2644|         223|
|          85|           8|         597|          86|        1109|         116|        1621|          98|        2133|          32|        2645|         174|
|          86|         153|         598|         184|        1110|         102|        1622|         164|        2134|         115|        2646|         209|
|          87|          68|         599|         209|        1111|         174|        1623|         219|        2135|          88|        2647|          36|
|          88|         222|         600|         127|        1112|          48|        1624|         242|        2136|         195|        2648|         164|
|          89|          49|         601|         117|        1113|         138|        1625|         110|        2137|          35|        2649|         167|
|          90|           2|         602|         189|        1114|           7|        1626|         226|        2138|          76|        2650|          71|
|          91|         161|         603|         217|        1115|          98|        1627|          58|        2139|          99|        2651|         219|
|          92|          63|         604|          93|        1116|         139|        1628|         202|        2140|          24|        2652|         118|
|          93|         234|         605|          55|        1117|          84|        1629|          65|        2141|         255|        2653|         140|
|          94|         135|         606|         167|        1118|          88|        1630|         153|        2142|         105|        2654|         202|
|          95|          68|         607|         203|        1119|         161|        1631|         199|        2143|          61|        2655|           3|
|          96|         255|         608|         181|        1120|         122|        1632|          79|        2144|          53|        2656|          42|
|          97|         228|         609|         236|        1121|         196|        1633|         108|        2145|         227|        2657|          43|
|          98|          36|         610|         149|        1122|         150|        1634|          39|        2146|          71|        2658|         248|
|          99|           6|         611|          28|        1123|         130|        1635|          56|        2147|          61|        2659|         147|
|         100|          43|         612|         177|        1124|          72|        1636|         239|        2148|         165|        2660|         108|
|         101|          78|         613|          98|        1125|          71|        1637|         251|        2149|         128|        2661|         212|
|         102|          97|         614|          44|        1126|         135|        1638|         113|        2150|         236|        2662|         247|
|         103|          36|         615|         171|        1127|         131|        1639|         170|        2151|          34|        2663|         233|
|         104|         151|         616|          73|        1128|          11|        1640|         220|        2152|         190|        2664|         176|
|         105|         246|         617|           9|        1129|         236|        1641|         159|        2153|          34|        2665|         117|
|         106|         223|         618|          45|        1130|          12|        1642|         123|        2154|         122|        2666|           9|
|         107|         135|         619|           2|        1131|         205|        1643|         233|        2155|          84|        2667|          15|
|         108|          25|         620|         111|        1132|         214|        1644|          77|        2156|         212|        2668|         107|
|         109|         178|         621|          85|        1133|         201|        1645|          13|        2157|          32|        2669|           4|
|         110|          48|         622|          77|        1134|         250|        1646|          55|        2158|           4|        2670|          97|
|         111|          73|         623|         217|        1135|         186|        1647|         235|        2159|         108|        2671|          60|
|         112|         244|         624|         138|        1136|          48|        1648|         230|        2160|         172|        2672|         130|
|         113|         254|         625|         100|        1137|         155|        1649|         161|        2161|         119|        2673|          29|
|         114|         235|         626|          65|        1138|          38|        1650|         155|        2162|         160|        2674|          54|
|         115|         116|         627|         220|        1139|         149|        1651|         157|        2163|         245|        2675|         158|
|         116|         151|         628|          38|        1140|         197|        1652|         116|        2164|          51|        2676|           2|
|         117|         230|         629|         225|        1141|         172|        1653|          71|        2165|         178|        2677|         237|
|         118|           0|         630|          24|        1142|         191|        1654|         246|        2166|         190|        2678|          21|
|         119|          13|         631|         175|        1143|         161|        1655|         227|        2167|         116|        2679|          86|
|         120|         136|         632|         234|        1144|          92|        1656|         222|        2168|         112|        2680|          19|
|         121|          39|         633|          40|        1145|         250|        1657|         155|        2169|          13|        2681|          78|
|         122|          74|         634|         205|        1146|         225|        1658|         132|        2170|         184|        2682|         123|
|         123|          81|         635|          46|        1147|          92|        1659|         217|        2171|         167|        2683|         197|
|         124|         155|         636|         202|        1148|           9|        1660|          89|        2172|         184|        2684|          39|
|         125|         145|         637|         171|        1149|         149|        1661|          79|        2173|         217|        2685|          51|
|         126|          99|         638|          29|        1150|         102|        1662|          64|        2174|         170|        2686|         163|
|         127|          62|         639|         249|        1151|           4|        1663|          96|        2175|          11|        2687|           6|
|         128|         103|         640|         126|        1152|         164|        1664|         218|        2176|          33|        2688|         119|
|         129|         175|         641|         148|        1153|          73|        1665|         205|        2177|          34|        2689|          71|
|         130|         188|         642|         150|        1154|           0|        1666|         249|        2178|         131|        2690|         157|
|         131|          85|         643|          48|        1155|          91|        1667|         214|        2179|         160|        2691|         187|
|         132|         250|         644|          50|        1156|         121|        1668|         209|        2180|          57|        2692|         176|
|         133|         170|         645|         172|        1157|         125|        1669|          30|        2181|         144|        2693|         209|
|         134|         237|         646|         241|        1158|         133|        1670|         168|        2182|          92|        2694|         160|
|         135|         159|         647|         123|        1159|         168|        1671|          36|        2183|         240|        2695|          13|
|         136|         204|         648|         127|        1160|          65|        1672|          20|        2184|         247|        2696|         233|
|         137|         107|         649|         123|        1161|          91|        1673|          11|        2185|         139|        2697|         219|
|         138|          73|         650|         161|        1162|         137|        1674|           1|        2186|           9|        2698|         161|
|         139|         238|         651|          78|        1163|         254|        1675|         254|        2187|          78|        2699|         238|
|         140|         242|         652|         154|        1164|          82|        1676|          25|        2188|         241|        2700|         217|
|         141|           0|         653|         177|        1165|          49|        1677|         130|        2189|         162|        2701|         147|
|         142|         182|         654|         172|        1166|          50|        1678|          72|        2190|         238|        2702|          36|
|         143|         101|         655|         107|        1167|         192|        1679|         102|        2191|          92|        2703|         161|
|         144|         148|         656|         203|        1168|          18|        1680|         105|        2192|         208|        2704|          71|
|         145|          65|         657|         196|        1169|          23|        1681|          59|        2193|          46|        2705|         241|
|         146|         188|         658|         186|        1170|          72|        1682|         102|        2194|          20|        2706|          83|
|         147|          58|         659|         168|        1171|         101|        1683|         114|        2195|         208|        2707|         125|
|         148|         161|         660|          33|        1172|         177|        1684|          81|        2196|           1|        2708|         193|
|         149|         179|         661|         219|        1173|         211|        1685|         154|        2197|          50|        2709|         154|
|         150|         219|         662|         107|        1174|         140|        1686|          60|        2198|         125|        2710|          77|
|         151|         187|         663|         242|        1175|         121|        1687|          80|        2199|         119|        2711|         238|
|         152|         193|         664|         101|        1176|          24|        1688|         219|        2200|         174|        2712|         145|
|         153|         172|         665|         235|        1177|         249|        1689|         216|        2201|         134|        2713|           5|
|         154|          34|         666|         238|        1178|          75|        1690|          55|        2202|         180|        2714|         192|
|         155|         143|         667|         146|        1179|         228|        1691|         135|        2203|         122|        2715|         188|
|         156|         140|         668|          76|        1180|          28|        1692|         253|        2204|         237|        2716|         237|
|         157|         184|         669|          31|        1181|          87|        1693|          94|        2205|          53|        2717|         220|
|         158|         253|         670|         208|        1182|          50|        1694|          37|        2206|         167|        2718|         186|
|         159|          63|         671|         175|        1183|         111|        1695|         127|        2207|         224|        2719|         144|
|         160|         249|         672|         240|        1184|         248|        1696|          15|        2208|          55|        2720|         110|
|         161|          60|         673|         126|        1185|         143|        1697|         113|        2209|          35|        2721|         165|
|         162|          79|         674|          17|        1186|         100|        1698|          71|        2210|         185|        2722|         188|
|         163|         245|         675|          20|        1187|         132|        1699|          68|        2211|          84|        2723|         180|
|         164|          25|         676|         129|        1188|         250|        1700|         130|        2212|          27|        2724|         196|
|         165|          89|         677|         200|        1189|           6|        1701|          20|        2213|         243|        2725|         161|
|         166|         192|         678|         125|        1190|         202|        1702|         167|        2214|          20|        2726|          17|
|         167|         131|         679|          52|        1191|          53|        1703|         135|        2215|          40|        2727|          26|
|         168|           5|         680|          56|        1192|         124|        1704|         208|        2216|          51|        2728|         167|
|         169|          19|         681|         160|        1193|         253|        1705|          42|        2217|          39|        2729|         244|
|         170|          89|         682|          57|        1194|         170|        1706|         171|        2218|          60|        2730|          93|
|         171|         166|         683|         107|        1195|         129|        1707|         230|        2219|         155|        2731|         160|
|         172|          21|         684|         141|        1196|          22|        1708|         175|        2220|          88|        2732|          16|
|         173|         179|         685|         240|        1197|         254|        1709|         220|        2221|         137|        2733|           7|
|         174|          78|         686|         157|        1198|         124|        1710|         235|        2222|         234|        2734|         121|
|         175|         140|         687|         135|        1199|         210|        1711|         109|        2223|          87|        2735|         146|
|         176|          82|         688|         170|        1200|          18|        1712|         138|        2224|          18|        2736|         170|
|         177|         105|         689|         138|        1201|         122|        1713|          58|        2225|         202|        2737|          43|
|         178|          26|         690|          65|        1202|         249|        1714|          64|        2226|          23|        2738|         126|
|         179|         149|         691|         135|        1203|         201|        1715|          92|        2227|          62|        2739|         112|
|         180|          46|         692|          31|        1204|          32|        1716|          49|        2228|          82|        2740|         131|
|         181|          54|         693|          11|        1205|         176|        1717|          37|        2229|         106|        2741|         127|
|         182|         209|         694|          91|        1206|         116|        1718|          29|        2230|          87|        2742|          32|
|         183|          87|         695|         163|        1207|          62|        1719|          42|        2231|         102|        2743|         242|
|         184|         115|         696|         215|        1208|          75|        1720|         208|        2232|         100|        2744|           8|
|         185|           9|         697|           5|        1209|         208|        1721|         108|        2233|         215|        2745|          19|
|         186|         178|         698|          72|        1210|         109|        1722|          35|        2234|         104|        2746|          62|
|         187|         228|         699|         140|        1211|         131|        1723|         203|        2235|          98|        2747|          74|
|         188|         122|         700|          75|        1212|          44|        1724|          30|        2236|          31|        2748|          48|
|         189|          41|         701|          93|        1213|          97|        1725|          53|        2237|         217|        2749|          77|
|         190|         252|         702|         104|        1214|         100|        1726|         239|        2238|          11|        2750|         182|
|         191|          79|         703|         244|        1215|         233|        1727|          47|        2239|         196|        2751|         169|
|         192|         157|         704|         245|        1216|          94|        1728|         214|        2240|          95|        2752|         247|
|         193|         210|         705|         241|        1217|         224|        1729|         159|        2241|          45|        2753|         140|
|         194|           4|         706|          47|        1218|         235|        1730|          55|        2242|          18|        2754|         126|
|         195|         108|         707|          81|        1219|         134|        1731|          11|        2243|         223|        2755|           4|
|         196|         238|         708|           8|        1220|          50|        1732|         107|        2244|         181|        2756|          14|
|         197|          35|         709|         126|        1221|         170|        1733|         165|        2245|         113|        2757|          12|
|         198|         131|         710|         121|        1222|         255|        1734|          21|        2246|         187|        2758|         241|
|         199|         216|         711|         222|        1223|          53|        1735|         219|        2247|         210|        2759|          24|
|         200|          42|         712|          94|        1224|         163|        1736|         248|        2248|          92|        2760|         209|
|         201|          56|         713|         194|        1225|          28|        1737|          70|        2249|          64|        2761|          10|
|         202|          52|         714|          30|        1226|         152|        1738|         162|        2250|          60|        2762|         102|
|         203|          57|         715|         227|        1227|         221|        1739|          40|        2251|         194|        2763|         172|
|         204|         232|         716|         178|        1228|         140|        1740|         117|        2252|         111|        2764|         121|
|         205|         147|         717|         221|        1229|         248|        1741|         226|        2253|         157|        2765|          40|
|         206|         159|         718|         199|        1230|         127|        1742|         199|        2254|         159|        2766|           7|
|         207|         199|         719|          55|        1231|         247|        1743|           6|        2255|         102|        2767|          22|
|         208|          22|         720|          15|        1232|          24|        1744|          49|        2256|          90|        2768|         147|
|         209|         192|         721|         253|        1233|          10|        1745|         232|        2257|         149|        2769|          18|
|         210|          47|         722|           0|        1234|          96|        1746|          80|        2258|         208|        2770|         225|
|         211|          12|         723|           3|        1235|          74|        1747|         226|        2259|         201|        2771|           0|
|         212|         166|         724|         136|        1236|         122|        1748|         124|        2260|         143|        2772|         177|
|         213|          56|         725|          58|        1237|          12|        1749|         174|        2261|          32|        2773|          98|
|         214|         139|         726|         142|        1238|          32|        1750|          66|        2262|         245|        2774|          55|
|         215|         231|         727|         200|        1239|         249|        1751|         122|        2263|          75|        2775|         108|
|         216|         133|         728|          42|        1240|         223|        1752|         164|        2264|         122|        2776|          95|
|         217|         135|         729|         191|        1241|         200|        1753|         160|        2265|          73|        2777|         193|
|         218|          35|         730|           2|        1242|         112|        1754|         111|        2266|         253|        2778|          28|
|         219|         215|         731|         164|        1243|         192|        1755|          45|        2267|         233|        2779|         246|
|         220|         205|         732|          47|        1244|         161|        1756|          36|        2268|         182|        2780|          88|
|         221|         170|         733|          43|        1245|         124|        1757|         157|        2269|         142|        2781|          79|
|         222|           9|         734|         142|        1246|         163|        1758|          71|        2270|         124|        2782|          65|
|         223|         118|         735|         209|        1247|         123|        1759|         117|        2271|         191|        2783|          89|
|         224|          59|         736|         116|        1248|         190|        1760|          23|        2272|         129|        2784|         250|
|         225|         187|         737|          55|        1249|         130|        1761|         158|        2273|         138|        2785|          70|
|         226|           3|         738|          24|        1250|         188|        1762|         241|        2274|         182|        2786|          11|
|         227|          68|         739|         110|        1251|         232|        1763|         178|        2275|         203|        2787|          53|
|         228|         227|         740|          46|        1252|         136|        1764|         243|        2276|         109|        2788|         248|
|         229|         208|         741|         152|        1253|          48|        1765|         153|        2277|         209|        2789|         218|
|         230|         222|         742|         141|        1254|         204|        1766|         155|        2278|         249|        2790|         232|
|         231|         166|         743|         130|        1255|         173|        1767|          41|        2279|         244|        2791|          16|
|         232|          34|         744|         216|        1256|         158|        1768|         115|        2280|          89|        2792|          79|
|         233|          32|         745|          39|        1257|         254|        1769|         165|        2281|          28|        2793|          99|
|         234|           5|         746|         120|        1258|         123|        1770|          14|        2282|          49|        2794|         228|
|         235|          47|         747|          62|        1259|         157|        1771|          76|        2283|          75|        2795|         154|
|         236|         213|         748|         112|        1260|          26|        1772|         213|        2284|         160|        2796|         123|
|         237|         103|         749|          63|        1261|         230|        1773|          94|        2285|         166|        2797|         189|
|         238|          82|         750|         211|        1262|         228|        1774|         133|        2286|         182|        2798|         119|
|         239|          29|         751|         130|        1263|          55|        1775|          60|        2287|         144|        2799|          53|
|         240|         200|         752|         226|        1264|          12|        1776|          70|        2288|         144|        2800|         234|
|         241|         140|         753|         102|        1265|          17|        1777|         139|        2289|         213|        2801|         239|
|         242|          35|         754|          28|        1266|         166|        1778|         191|        2290|         104|        2802|         161|
|         243|          39|         755|         163|        1267|         111|        1779|         140|        2291|         248|        2803|         180|
|         244|         114|         756|         197|        1268|          40|        1780|         155|        2292|          30|        2804|         177|
|         245|         129|         757|          48|        1269|         175|        1781|         254|        2293|          29|        2805|          12|
|         246|         177|         758|         172|        1270|          55|        1782|          83|        2294|         254|        2806|          57|
|         247|         118|         759|         108|        1271|         178|        1783|          72|        2295|          45|        2807|          99|
|         248|         223|         760|          69|        1272|         187|        1784|          65|        2296|         215|        2808|         126|
|         249|         108|         761|          97|        1273|          39|        1785|         188|        2297|          34|        2809|          87|
|         250|         157|         762|          69|        1274|         124|        1786|          68|        2298|         155|        2810|         131|
|         251|         241|         763|          98|        1275|          36|        1787|          53|        2299|         151|        2811|          72|
|         252|         237|         764|          96|        1276|         228|        1788|         119|        2300|          26|        2812|         205|
|         253|           4|         765|          82|        1277|         112|        1789|          94|        2301|          28|        2813|         170|
|         254|         204|         766|         234|        1278|         151|        1790|         213|        2302|         162|        2814|           0|
|         255|         189|         767|          76|        1279|          44|        1791|          91|        2303|         218|        2815|         169|
|         256|         187|         768|          86|        1280|           0|        1792|         186|        2304|         133|        2816|          95|
|         257|          61|         769|         150|        1281|         190|        1793|         183|        2305|         128|        2817|          25|
|         258|         117|         770|         243|        1282|           1|        1794|         158|        2306|         204|        2818|         138|
|         259|           4|         771|         243|        1283|          50|        1795|         193|        2307|         160|        2819|         207|
|         260|          95|         772|          90|        1284|         102|        1796|         129|        2308|         173|        2820|         232|
|         261|          39|         773|         220|        1285|          98|        1797|         183|        2309|         221|        2821|         210|
|         262|         120|         774|          96|        1286|         216|        1798|         224|        2310|         120|        2822|         160|
|         263|         246|         775|          39|        1287|         167|        1799|         120|        2311|         152|        2823|           9|
|         264|         215|         776|         142|        1288|          85|        1800|          43|        2312|          18|        2824|           9|
|         265|          19|         777|          23|        1289|         235|        1801|         143|        2313|           3|        2825|          71|
|         266|         242|         778|         110|        1290|         122|        1802|          22|        2314|          66|        2826|         254|
|         267|          14|         779|           2|        1291|          70|        1803|         218|        2315|         191|        2827|         243|
|         268|          66|         780|          46|        1292|          42|        1804|          54|        2316|          82|        2828|         125|
|         269|         249|         781|         221|        1293|         146|        1805|          22|        2317|         107|        2829|         144|
|         270|          14|         782|         104|        1294|          82|        1806|         204|        2318|         214|        2830|         112|
|         271|         151|         783|         113|        1295|         154|        1807|          20|        2319|         222|        2831|         247|
|         272|          81|         784|          11|        1296|         214|        1808|         177|        2320|         156|        2832|         151|
|         273|          22|         785|          13|        1297|         213|        1809|         108|        2321|         211|        2833|          10|
|         274|          30|         786|         192|        1298|         242|        1810|         180|        2322|           7|        2834|         233|
|         275|         110|         787|         239|        1299|         193|        1811|         226|        2323|          83|        2835|          21|
|         276|         248|         788|          60|        1300|         144|        1812|         244|        2324|         104|        2836|         236|
|         277|         217|         789|         181|        1301|          97|        1813|         221|        2325|          41|        2837|          69|
|         278|         234|         790|          94|        1302|          98|        1814|         247|        2326|          27|        2838|         207|
|         279|           9|         791|         148|        1303|         111|        1815|         154|        2327|          21|        2839|         224|
|         280|         105|         792|          16|        1304|         199|        1816|         142|        2328|         101|        2840|          77|
|         281|           0|         793|          51|        1305|          53|        1817|           8|        2329|         170|        2841|          29|
|         282|          71|         794|          56|        1306|         184|        1818|         201|        2330|         105|        2842|         154|
|         283|         184|         795|          79|        1307|          54|        1819|         108|        2331|         243|        2843|         201|
|         284|          66|         796|          71|        1308|          91|        1820|         127|        2332|         179|        2844|         248|
|         285|         255|         797|         154|        1309|           5|        1821|          64|        2333|          75|        2845|          38|
|         286|         236|         798|          35|        1310|         233|        1822|          64|        2334|          39|        2846|         157|
|         287|          43|         799|         112|        1311|           4|        1823|         232|        2335|          28|        2847|         160|
|         288|           5|         800|         129|        1312|          12|        1824|         168|        2336|          83|        2848|          14|
|         289|         161|         801|          87|        1313|         220|        1825|          50|        2337|          88|        2849|          78|
|         290|         130|         802|         232|        1314|         223|        1826|         102|        2338|         125|        2850|          35|
|         291|          53|         803|         105|        1315|         237|        1827|         192|        2339|         228|        2851|          88|
|         292|         202|         804|         246|        1316|          51|        1828|         127|        2340|         220|        2852|          72|
|         293|         241|         805|          20|        1317|           6|        1829|         200|        2341|          91|        2853|         189|
|         294|         250|         806|         155|        1318|         204|        1830|         141|        2342|         221|        2854|         190|
|         295|         207|         807|         213|        1319|          42|        1831|         208|        2343|         197|        2855|          11|
|         296|          48|         808|         104|        1320|         176|        1832|           7|        2344|         111|        2856|         230|
|         297|          91|         809|         220|        1321|          45|        1833|          78|        2345|          63|        2857|           0|
|         298|          35|         810|          40|        1322|         189|        1834|         226|        2346|         151|        2858|         220|
|         299|          96|         811|         185|        1323|          98|        1835|          91|        2347|         164|        2859|          61|
|         300|         153|         812|          86|        1324|          35|        1836|           0|        2348|         236|        2860|         233|
|         301|          15|         813|         128|        1325|         194|        1837|         212|        2349|         181|        2861|         103|
|         302|         124|         814|          47|        1326|         114|        1838|          69|        2350|         168|        2862|         155|
|         303|          60|         815|          10|        1327|          41|        1839|         152|        2351|          86|        2863|         101|
|         304|         151|         816|         115|        1328|          95|        1840|          90|        2352|         102|        2864|         130|
|         305|         166|         817|          58|        1329|         159|        1841|         211|        2353|         215|        2865|         171|
|         306|          71|         818|          18|        1330|         109|        1842|          88|        2354|         211|        2866|         223|
|         307|         106|         819|         112|        1331|         199|        1843|         109|        2355|          99|        2867|         170|
|         308|         161|         820|          86|        1332|          27|        1844|         240|        2356|         213|        2868|         202|
|         309|           8|         821|         145|        1333|         234|        1845|          19|        2357|          11|        2869|         212|
|         310|         222|         822|          76|        1334|          73|        1846|         214|        2358|         244|        2870|         161|
|         311|         170|         823|          74|        1335|          58|        1847|         122|        2359|          10|        2871|         234|
|         312|          11|         824|         115|        1336|         235|        1848|         115|        2360|          11|        2872|         179|
|         313|         141|         825|         124|        1337|          60|        1849|         203|        2361|          43|        2873|          90|
|         314|          74|         826|           4|        1338|          77|        1850|          39|        2362|         144|        2874|         138|
|         315|         182|         827|         242|        1339|         126|        1851|          89|        2363|         133|        2875|           0|
|         316|          53|         828|          74|        1340|         111|        1852|         164|        2364|         234|        2876|          63|
|         317|          98|         829|         202|        1341|           2|        1853|          11|        2365|         227|        2877|         139|
|         318|          18|         830|         225|        1342|          65|        1854|          49|        2366|         176|        2878|         192|
|         319|         201|         831|          66|        1343|          11|        1855|          36|        2367|         142|        2879|          71|
|         320|           2|         832|         222|        1344|         202|        1856|         199|        2368|         211|        2880|         240|
|         321|          47|         833|         193|        1345|          36|        1857|          87|        2369|          90|        2881|          44|
|         322|          81|         834|          33|        1346|         128|        1858|         112|        2370|         240|        2882|           0|
|         323|          94|         835|          87|        1347|         160|        1859|          56|        2371|          33|        2883|          90|
|         324|         139|         836|         105|        1348|          86|        1860|          84|        2372|          97|        2884|         127|
|         325|         246|         837|           6|        1349|         229|        1861|         148|        2373|          20|        2885|          99|
|         326|          11|         838|         229|        1350|          79|        1862|          73|        2374|         211|        2886|         237|
|         327|          58|         839|         148|        1351|          63|        1863|          57|        2375|         132|        2887|          30|
